english_word,spanish_word,english_hint,spanish_hint
time,tiempo,"What clocks measure","Lo que mide el reloj"
man,hombre,"Adult male","Adulto masculino"
way,camino,"Route from one place to another","Ruta para llegar a un lugar"
people,gente,"A group of persons","Conjunto de personas"
life,vida,"Existence of a living being","Existencia de un ser vivo"
day,día,"24-hour period","Periodo de 24 horas"
work,trabajo,"Employment or labor","Actividad laboral"
call,llamada,"Phone contact","Comunicación por teléfono"
night,noche,"Time after sunset","Tiempo después del atardecer"
home,hogar,"Where one lives","Lugar donde vive una familia"
thought,pensamiento,"Idea in the mind","Idea en la mente"
money,dinero,"Cash or currency","Moneda o efectivo"
name,nombre,"Word identifying a person","Palabra que identifica a alguien"
father,padre,"Male parent","Progenitor masculino"
guy,chico,"Casual word for a man","Forma informal de hombre"
place,lugar,"Specific location","Sitio específico"
feel,sentimiento,"Emotion inside","Emoción interior"
girl,chica,"Young female","Mujer joven"
house,casa,"Building where people live","Edificio para vivir"
left,izquierda,"Opposite of right","Opuesto de derecha"
right,derecha,"Opposite of left","Opuesto de izquierda"
mother,madre,"Female parent","Progenitora femenina"
course,curso,"Series of lessons","Serie de lecciones"
dad,papá,"Informal father","Forma informal de padre"
world,mundo,"The planet Earth","El planeta Tierra"
son,hijo,"Male child","Descendiente masculino"
car,coche,"Road vehicle","Vehículo para conducir"
woman,mujer,"Adult female","Persona femenina adulta"
friend,amigo,"Close companion","Persona cercana"
mind,mente,"Center of thought","Centro del pensamiento"
head,cabeza,"Top part of the body","Parte superior del cuerpo"
mom,mamá,"Informal mother","Forma informal de madre"
boy,niño,"Young male","Varón joven"
job,trabajo,"Paid occupation","Ocupación pagada"
baby,bebé,"Very young child","Niño muy pequeño"
family,familia,"Parents and children group","Grupo de parientes"
room,habitación,"Space inside a house","Espacio dentro de una casa"
brother,hermano,"Male sibling","Hermano masculino"
idea,idea,"Mental concept","Concepto mental"
wife,esposa,"Married woman","Mujer casada"
start,inicio,"Beginning point","Punto inicial"
door,puerta,"Entry to a room","Entrada a una habitación"
bit,pedazo,"Small piece","Pequeña parte"
matter,materia,"Physical substance","Sustancia física"
run,carrera,"Fast movement on foot","Movimiento rápido al correr"
school,escuela,"Place for learning","Lugar para estudiar"
play,juego,"Activity for fun","Actividad para divertirse"
problem,problema,"Difficult situation","Situación difícil"
end,fin,"Opposite of beginning","Opuesto de inicio"
phone,teléfono,"Device for calls","Dispositivo para llamar"
hope,esperanza,"Feeling of expectation","Sentimiento de optimismo"
excuse,excusa,"Reason given to avoid blame","Razón para evitar culpa"
face,cara,"Front of the head","Parte frontal de la cabeza"
turn,turno,"Time in a sequence","Tiempo asignado"
police,policía,"Law enforcement officers","Agentes del orden"
heart,corazón,"Organ that pumps blood","Órgano que bombea sangre"
worry,preocupación,"Feeling of anxiety","Sentimiento de ansiedad"
business,negocio,"Commercial activity","Actividad comercial"
watch,reloj,"Device that tells time","Dispositivo que da la hora"
year,año,"12-month period","Periodo de 12 meses"
hand,mano,"Body part with fingers","Parte del cuerpo con dedos"
doctor,médico,"Health professional","Profesional de la salud"
sit,sentada,"Position on a chair","Posición sentado"
second,segundo,"Unit of time","Unidad pequeña de tiempo"
kid,niño,"Child","Persona joven"
pay,pago,"Money given for work","Dinero por trabajo"
water,agua,"Essential liquid","Líquido esencial"
death,muerte,"End of life","Fin de la vida"
stuff,cosas,"Various items","Objetos variados"
minute,minuto,"60-second unit","Unidad de 60 segundos"
part,parte,"Piece of a whole","Porción de algo"
person,persona,"Human individual","Individuo humano"
drink,bebida,"Liquid to consume","Líquido para beber"
change,cambio,"Act of becoming different","Acto de modificar"
hit,golpe,"Strike with force","Impacto fuerte"
check,cheque,"Written payment order","Orden escrita de pago"
music,música,"Art of sound","Arte de sonidos"
inside,interior,"Opposite of outside","Opuesto de exterior"
sleep,sueño,"Rest at night","Descanso nocturno"
mine,mío,"Belonging to me","Que me pertenece"
deal,acuerdo,"Arrangement between parties","Convenio entre partes"
point,punto,"Exact spot","Lugar preciso"
body,cuerpo,"Physical structure","Estructura física"
chance,oportunidad,"Possibility of success","Posibilidad favorable"
close,cierre,"Act of shutting","Acción de cerrar"
party,fiesta,"Celebration with people","Celebración social"
daughter,hija,"Female child","Descendiente femenina"
word,palabra,"Unit of language","Unidad del lenguaje"
fun,diversión,"Enjoyable activity","Actividad agradable"
number,número,"Mathematical symbol","Símbolo matemático"
story,historia,"Narrative tale","Relato narrativo"
wish,deseo,"Strong hope","Esperanza fuerte"
husband,esposo,"Married man","Hombre casado"
fire,fuego,"Flames and heat","Llamas y calor"
fight,pelea,"Physical conflict","Conflicto físico"
rest,descanso,"Time to relax","Tiempo para relajarse"
moment,momento,"Very short time","Tiempo muy breve"
week,semana,"Seven days","Periodo de siete días"
game,juego,"Structured play","Actividad con reglas"
sister,hermana,"Female sibling","Hermana femenina"
child,niño,"Young human","Ser humano joven"
side,lado,"Edge or direction","Parte lateral"
blood,sangre,"Red body fluid","Líquido rojo del cuerpo"
truth,verdad,"Opposite of lie","Opuesto de mentira"
